parentid,objectid,title,collection,date_created,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
,garycoll001,"Treshawn Seymour, performing",gary_carrington_collection,ca. 1993-2004,"Treshawn Seymour performing at Soakie’s, holding a wad of cash and donned in a blue/green jumpsuit.",Treshawn Seymour; Soakie’s,"Soakie's (Kansas City, MO)",39.09985985,-94.58322563,"gary_carrington_collection, {B/qKC}",TreshawnSeymour003,Image;StillImage,image/jpg,eng,"In Copyright - Educational Use Permitted. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. IPR remains with Gary Carrington, a license has been granted to allow reuse in perpetuity for educational and research purposes. For more information, please contact Nasir Anthony Montalvo at 1800nasi@tutamail.com.",https://creativecommons.org/licenses/by-nc-nd/4.0/,image,https://bafybeidjhth6baxump5j5osng62eagkmoy2lnzlm5kg5spb6tspgcc63mm.ipfs.dweb.link/TreshawnSeymour003_Soakies_GaryCarringtonCollection_BqKC.jpeg,https://bafybeie2ig3qx5bgu3sue2hqeymti4isgvzfb657a7x2qv2q33rlg4xb34.ipfs.dweb.link/treshawnseymour003_soakies_garycarringtoncollection_bqkc_sm.jpg,https://bafybeig2qdhiublgswnfv57lhmamucnx7neyihltbxebc7nbpqobmhqxvi.ipfs.dweb.link/treshawnseymour003_soakies_garycarringtoncollection_bqkc_th.jpg,Treshawn Seymour performs at Soakie's.,
,garycoll002,"Treshawn Seymour, Miss Soakie's 2002",gary_carrington_collection,ca.2002,Patrons watch Treshawn Seymour's acceptance of Miss Soakie's 2002.,Treshawn Seymour; Miss Soakie’s,"Soakie's (Kansas City, MO)",39.09985985,-94.58322563,"gary_carrington_collection, {B/qKC}",TreshawnSeymour002,Image;StillImage,image/jpg,eng,"In Copyright - Educational Use Permitted. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. IPR remains with Gary Carrington, a license has been granted to allow reuse in perpetuity for educational and research purposes. For more information, please contact Nasir Anthony Montalvo at 1800nasi@tutamail.com.",https://creativecommons.org/licenses/by-nc-nd/4.0/,image,https://bafybeidjhth6baxump5j5osng62eagkmoy2lnzlm5kg5spb6tspgcc63mm.ipfs.dweb.link/TreshawnSeymour002_Soakies_GaryCarringtonCollection_BqKC.jpeg,https://bafybeie2ig3qx5bgu3sue2hqeymti4isgvzfb657a7x2qv2q33rlg4xb34.ipfs.dweb.link/treshawnseymour002_soakies_garycarringtoncollection_bqkc_sm.jpg,https://bafybeig2qdhiublgswnfv57lhmamucnx7neyihltbxebc7nbpqobmhqxvi.ipfs.dweb.link/treshawnseymour002_soakies_garycarringtoncollection_bqkc_th.jpg,"Treshawn Seymour is crowned ""Miss Soakie's 2002"".",
,garycoll003,"Treshawn Seymour, Miss Soakie's 2002 – 2",gary_carrington_collection,ca.2002,"Treshawn Seymour is crowned Miss Soakie’s 2002, dressed in matching pink shoes, a dress, and a flower in their hair. ",Treshawn Seymour; Miss Soakie’s,"Soakie's (Kansas City, MO)",39.09985985,-94.58322563,"gary_carrington_collection, {B/qKC}",TreshawnSeymour001,Image;StillImage,image/jpg,eng,"In Copyright - Educational Use Permitted. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. IPR remains with Gary Carrington, a license has been granted to allow reuse in perpetuity for educational and research purposes. For more information, please contact Nasir Anthony Montalvo at 1800nasi@tutamail.com.",https://creativecommons.org/licenses/by-nc-nd/4.0/,image,https://bafybeidjhth6baxump5j5osng62eagkmoy2lnzlm5kg5spb6tspgcc63mm.ipfs.dweb.link/TreshawnSeymour001_Soakies_GaryCarringtonCollection_BqKC.jpeg,https://bafybeie2ig3qx5bgu3sue2hqeymti4isgvzfb657a7x2qv2q33rlg4xb34.ipfs.dweb.link/treshawnseymour001_soakies_garycarringtoncollection_bqkc_sm.jpg,https://bafybeig2qdhiublgswnfv57lhmamucnx7neyihltbxebc7nbpqobmhqxvi.ipfs.dweb.link/treshawnseymour001_soakies_garycarringtoncollection_bqkc_th.jpg,"Treshawn Seymour smiles to the audience at ""Miss Soakie's 2002"".",
,garycoll004,Drew Carrington bartends at Soakie's,gary_carrington_collection,ca.1993-2004,"The late Danny Cashmere—also known by house name, Drew Carrington—bartending at Soakie’s. The signs behind Danny read “Long Island Ice Tea’s..6.00 for one or 9.00 for two…SOLD HERE…” and “Cups of Ice 25¢”.",Danny Cashmere; Drew Carrington; Soakie’s,"Soakie's (Kansas City, MO)",39.09985985,-94.58322563,"gary_carrington_collection, {B/qKC}",DannyCashmere001,Image;StillImage,image/jpg,eng,"In Copyright - Educational Use Permitted. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. IPR remains with Gary Carrington, a license has been granted to allow reuse in perpetuity for educational and research purposes. For more information, please contact Nasir Anthony Montalvo at 1800nasi@tutamail.com.",https://creativecommons.org/licenses/by-nc-nd/4.0/,image,https://bafybeidjhth6baxump5j5osng62eagkmoy2lnzlm5kg5spb6tspgcc63mm.ipfs.dweb.link/DannyCashmere001_Soakies_GaryCarringtonCollection_BqKC.jpeg,https://bafybeie2ig3qx5bgu3sue2hqeymti4isgvzfb657a7x2qv2q33rlg4xb34.ipfs.dweb.link/dannycashmere001_soakies_garycarringtoncollection_bqkc_sm.jpg,https://bafybeig2qdhiublgswnfv57lhmamucnx7neyihltbxebc7nbpqobmhqxvi.ipfs.dweb.link/dannycashmere001_soakies_garycarringtoncollection_bqkc_th.jpg,"Danny Cashmere bartends at Soakie's, with a wall of liquor and trophies behind him.",
,garycoll005,Danny Cashmere poses in front of the fridge at Soakie's,gary_carrington_collection,ca.1993-2004,"Danny Cashmere poses in front of the fridge at Soakie’s, wearing a McDonald's uniform consisting of a white hat and red shirt.",Danny Cashmere; Soakie’s,"Soakie's (Kansas City, MO)",39.09985985,-94.58322563,"gary_carrington_collection, {B/qKC}",DannyCashmere002,Image;StillImage,image/jpg,eng,"In Copyright - Educational Use Permitted. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. IPR remains with Gary Carrington, a license has been granted to allow reuse in perpetuity for educational and research purposes. For more information, please contact Nasir Anthony Montalvo at 1800nasi@tutamail.com.",https://creativecommons.org/licenses/by-nc-nd/4.0/,image,https://bafybeidjhth6baxump5j5osng62eagkmoy2lnzlm5kg5spb6tspgcc63mm.ipfs.dweb.link/DannyCashmere002_Soakies_GaryCarringtonCollection_BqKC.jpeg,https://bafybeie2ig3qx5bgu3sue2hqeymti4isgvzfb657a7x2qv2q33rlg4xb34.ipfs.dweb.link/dannycashmere002_soakies_garycarringtoncollection_bqkc_sm.jpg,https://bafybeig2qdhiublgswnfv57lhmamucnx7neyihltbxebc7nbpqobmhqxvi.ipfs.dweb.link/dannycashmere002_soakies_garycarringtoncollection_bqkc_th.jpg,Danny Cashmere poses in front of a fridge at Soakie's.,
,garycoll006,"Drew Carrington, friends and the fridge at Soakie's",gary_carrington_collection,ca.1993-2004,"Danny Cashmere (right) kneels in front of the fridge at Soakie's with his peer, Kermit (left). Danny wears a satin, pink-patterned shirt and ripped blue jeans and holds a beverage in his left hand.",Danny Cashmere; Soakie’s,"Soakie's (Kansas City, MO)",39.09985985,-94.58322563,"gary_carrington_collection, {B/qKC}",DannyCashmere003,Image;StillImage,image/jpg,eng,"In Copyright - Educational Use Permitted. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. IPR remains with Gary Carrington, a license has been granted to allow reuse in perpetuity for educational and research purposes. For more information, please contact Nasir Anthony Montalvo at 1800nasi@tutamail.com.",https://creativecommons.org/licenses/by-nc-nd/4.0/,image,https://bafybeidjhth6baxump5j5osng62eagkmoy2lnzlm5kg5spb6tspgcc63mm.ipfs.dweb.link/DannyCashmere003_Soakies_GaryCarringtonCollection_BqKC.jpeg,https://bafybeie2ig3qx5bgu3sue2hqeymti4isgvzfb657a7x2qv2q33rlg4xb34.ipfs.dweb.link/dannycashmere003_soakies_garycarringtoncollection_bqkc_sm.jpg,https://bafybeig2qdhiublgswnfv57lhmamucnx7neyihltbxebc7nbpqobmhqxvi.ipfs.dweb.link/dannycashmere003_soakies_garycarringtoncollection_bqkc_th.jpg,"Danny Cashmere kneels to the right of his friend, Kermit, in front of a fridge at Soakie's.",
,garycoll007,Drew Carrington and Treshawn Seymour,gary_carrington_collection,ca.1993-2004,"Treshawn Seymour (left) grins next to Danny Cashmere. Treshawn is wearing a leopard fur dress and a matching purse, while Danny is dressed in a red, plaid shirt and jeans.",Treshawn Seymour; Danny Cashmere,"Soakie's (Kansas City, MO)",39.09985985,-94.58322563,"gary_carrington_collection, {B/qKC}",DannyCashmere004,Image;StillImage,image/jpg,eng,"In Copyright - Educational Use Permitted. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. IPR remains with Gary Carrington, a license has been granted to allow reuse in perpetuity for educational and research purposes. For more information, please contact Nasir Anthony Montalvo at 1800nasi@tutamail.com.",https://creativecommons.org/licenses/by-nc-nd/4.0/,image,https://bafybeidjhth6baxump5j5osng62eagkmoy2lnzlm5kg5spb6tspgcc63mm.ipfs.dweb.link/DannyCashmere004_Soakies_GaryCarringtonCollection_BqKC.jpeg,https://bafybeie2ig3qx5bgu3sue2hqeymti4isgvzfb657a7x2qv2q33rlg4xb34.ipfs.dweb.link/dannycashmere004_soakies_garycarringtoncollection_bqkc_sm.jpg,https://bafybeig2qdhiublgswnfv57lhmamucnx7neyihltbxebc7nbpqobmhqxvi.ipfs.dweb.link/dannycashmere004_soakies_garycarringtoncollection_bqkc_th.jpg,Treshawn Seymour and Danny Cashmere radiantly smile to the camera in front of Soakie's bar.,
,garycoll008,"Drew Carrington, friends and the fridge at Soakie's – 2",gary_carrington_collection,ca.1993-2004,"Three guests pose with drinks in front of the fridge at Soakie's. Danny Cashmere (right) wears a satin, pink-patterned shirt and ripped blue jeans.",Danny Cashmere; Soakie’s,"Soakie's (Kansas City, MO)",39.09985985,-94.58322563,"gary_carrington_collection, {B/qKC}",DannyCashmere005,Image;StillImage,image/jpg,eng,"In Copyright - Educational Use Permitted. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. IPR remains with Gary Carrington, a license has been granted to allow reuse in perpetuity for educational and research purposes. For more information, please contact Nasir Anthony Montalvo at 1800nasi@tutamail.com.",https://creativecommons.org/licenses/by-nc-nd/4.0/,image,https://bafybeidjhth6baxump5j5osng62eagkmoy2lnzlm5kg5spb6tspgcc63mm.ipfs.dweb.link/DannyCashmere005_Soakies_GaryCarringtonCollection_BqKC.jpeg,https://bafybeie2ig3qx5bgu3sue2hqeymti4isgvzfb657a7x2qv2q33rlg4xb34.ipfs.dweb.link/dannycashmere005_soakies_garycarringtoncollection_bqkc_sm.jpg,https://bafybeig2qdhiublgswnfv57lhmamucnx7neyihltbxebc7nbpqobmhqxvi.ipfs.dweb.link/dannycashmere005_soakies_garycarringtoncollection_bqkc_th.jpg,Danny Cashmere playfully poses with colleagues at Soakie's.,
,garycoll009,Brandon Holmes and Danny Cashmere at the bar,gary_carrington_collection,ca.1993-2004,"Patrons of Soakie’s, Brandon Holmes (left) and Danny Cashmere, sit at the bar. Brandon wears a navy colored sweatshirt, and Danny wears a blue, silk, baggy shirt.",Brandon Holmes; Danny Cashmere; Soakie’s,"Soakie's (Kansas City, MO)",39.09985985,-94.58322563,"gary_carrington_collection, {B/qKC}",DannyCashmere006,Image;StillImage,image/jpg,eng,"In Copyright - Educational Use Permitted. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. IPR remains with Gary Carrington, a license has been granted to allow reuse in perpetuity for educational and research purposes. For more information, please contact Nasir Anthony Montalvo at 1800nasi@tutamail.com.",https://creativecommons.org/licenses/by-nc-nd/4.0/,image,https://bafybeidjhth6baxump5j5osng62eagkmoy2lnzlm5kg5spb6tspgcc63mm.ipfs.dweb.link/DannyCashmere006_Soakies_GaryCarringtonCollection_BqKC.jpeg,https://bafybeie2ig3qx5bgu3sue2hqeymti4isgvzfb657a7x2qv2q33rlg4xb34.ipfs.dweb.link/dannycashmere006_soakies_garycarringtoncollection_bqkc_sm.jpg,https://bafybeig2qdhiublgswnfv57lhmamucnx7neyihltbxebc7nbpqobmhqxvi.ipfs.dweb.link/dannycashmere006_soakies_garycarringtoncollection_bqkc_th.jpg,"Four patrons sitting at the bar in Soakie's. A masculine patron in the foreground looks straight into the camera, the others are in conversation.",
,garycoll010,New Year's at Soakie's,gary_carrington_collection,12.31.1999,"Gary Carrington (left) crouches by Danny Cashmere and friends below a sign stating ""HAPPY NEW YEAR"".",Gary Carrington; Danny Cashmere,"Soakie's (Kansas City, MO)",39.09985985,-94.58322563,"gary_carrington_collection, {B/qKC}",DannyCashmere007,Image;StillImage,image/jpg,eng,"In Copyright - Educational Use Permitted. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. IPR remains with Gary Carrington, a license has been granted to allow reuse in perpetuity for educational and research purposes. For more information, please contact Nasir Anthony Montalvo at 1800nasi@tutamail.com.",https://creativecommons.org/licenses/by-nc-nd/4.0/,image,https://bafybeidjhth6baxump5j5osng62eagkmoy2lnzlm5kg5spb6tspgcc63mm.ipfs.dweb.link/DannyCashmere007_Soakies_GaryCarringtonCollection_BqKC.jpeg,https://bafybeie2ig3qx5bgu3sue2hqeymti4isgvzfb657a7x2qv2q33rlg4xb34.ipfs.dweb.link/dannycashmere007_soakies_garycarringtoncollection_bqkc_sm.jpg,https://bafybeig2qdhiublgswnfv57lhmamucnx7neyihltbxebc7nbpqobmhqxvi.ipfs.dweb.link/dannycashmere007_soakies_garycarringtoncollection_bqkc_th.jpg,"Five of Soakie's patrons pose in front of a banner displaying ""Happy New Year"".",
